# cl_noweight cl_linear cl_neuralnet
5.582525093139513727e-06 5.536586545856137137e-06 5.613647276881255510e-06
5.138876531870210877e-06 5.079341132276450732e-06 5.184315494867689696e-06
5.130253613414351584e-06 5.091274701436765221e-06 5.205457334070050463e-06
5.294090617391728183e-06 5.271904741924015984e-06 5.353649213500446954e-06
5.279810384272602537e-06 5.250522941556599811e-06 5.256942408917485027e-06
5.045568123129501289e-06 5.017031500231358488e-06 4.955812923681132677e-06
4.779508535405974296e-06 4.779934088345091129e-06 4.705395385190452363e-06
4.516322602087850764e-06 4.542900493421605716e-06 4.495982663231030911e-06
4.297577356649191214e-06 4.324352604221769389e-06 4.297339622236300458e-06
4.348746139456264617e-06 4.373041953158527648e-06 4.335719246277354573e-06
4.708433276135860380e-06 4.740999357699418933e-06 4.698495630351222657e-06
5.102865669238744460e-06 5.141002132059981892e-06 5.140055743581245231e-06
5.236902094830077010e-06 5.280584904639035724e-06 5.331179930182811443e-06
5.053466593404230622e-06 5.098350288810290619e-06 5.143060641860331146e-06
4.877188741894803275e-06 4.893342900930097650e-06 4.895304297947932548e-06
4.960609604114967035e-06 4.936756303699457248e-06 4.919266108754998523e-06
4.940576767889421730e-06 4.913086947028462636e-06 4.892668446403188388e-06
4.573606548932997648e-06 4.574126293440581167e-06 4.546653223414672878e-06
4.388004366844462328e-06 4.419135579496676576e-06 4.395430173574393752e-06
4.632662415020273156e-06 4.694188536702670381e-06 4.683494561269071232e-06
4.728393645758691690e-06 4.810003187558733768e-06 4.814256256250187634e-06
4.401607970456087676e-06 4.471981068157508380e-06 4.494622585683024713e-06
4.093411563906347459e-06 4.127687313742293431e-06 4.138848564212712485e-06
4.185836325526914807e-06 4.185614602665987729e-06 4.151105746748977276e-06
4.672847773061904495e-06 4.660318306197752759e-06 4.617714206715065140e-06
5.221898029961162462e-06 5.214737843473715430e-06 5.212378151872880477e-06
5.419303716016309905e-06 5.404627623947440057e-06 5.411958897093213751e-06
5.292936785361808109e-06 5.253811111388060270e-06 5.229552747800419545e-06
5.131647482393396195e-06 5.095346214440442183e-06 5.062892870946533083e-06
4.961822591665137677e-06 4.980696854411390602e-06 4.986617483279282680e-06
4.887320407202787952e-06 4.981279142761545298e-06 5.041515059524540848e-06
